REGION,REGION_ABBR,YEAR,WEEK,EPIWEEK,% WEIGHTED ILI,% UNWEIGHTED ILI,ISSUE,RELEASE_DATE,NUM_PROVIDERS,NUM_PATIENTS,NUM_ILI,SOURCE
Mississippi,MS,2013,40,2013W40,2.57892,2.57892,201740,2017-10-24,40,16092,415,Delphi Epidata fluview (sourced from CDC FluView)
Montana,MT,2013,40,2013W40,0.0852152,0.0852152,201740,2017-10-24,8,2347,2,Delphi Epidata fluview (sourced from CDC FluView)
North Carolina,NC,2013,40,2013W40,0.356983,0.356983,201740,2017-10-24,53,17928,64,Delphi Epidata fluview (sourced from CDC FluView)
North Dakota,ND,2013,40,2013W40,0.0765697,0.0765697,201740,2017-10-24,8,1306,1,Delphi Epidata fluview (sourced from CDC FluView)
Nebraska,NE,2013,40,2013W40,0.469484,0.469484,201740,2017-10-24,15,2343,11,Delphi Epidata fluview (sourced from CDC FluView)
New Hampshire,NH,2013,40,2013W40,0.0760601,0.0760601,201740,2017-10-24,28,5259,4,Delphi Epidata fluview (sourced from CDC FluView)
New Jersey,NJ,2013,40,2013W40,1.51614,1.51614,201740,2017-10-24,22,10685,162,Delphi Epidata fluview (sourced from CDC FluView)
New Mexico,NM,2013,40,2013W40,1.84558,1.84558,201740,2017-10-24,28,11216,207,Delphi Epidata fluview (sourced from CDC FluView)
Nevada,NV,2013,40,2013W40,0.584908,0.584908,201740,2017-10-24,34,15558,91,Delphi Epidata fluview (sourced from CDC FluView)
New York,NY,2013,40,2013W40,1.3974538813752218,1.3974538813752218,201740,,198,113349,1584,Delphi Epidata fluview (sourced from CDC FluView)
Ohio,OH,2013,40,2013W40,0.478911,0.478911,201740,2017-10-24,38,11902,57,Delphi Epidata fluview (sourced from CDC FluView)
Oklahoma,OK,2013,40,2013W40,2.33181,2.33181,201740,2017-10-24,20,3731,87,Delphi Epidata fluview (sourced from CDC FluView)
